2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: AMC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: PLT_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: Hb_week0
2026-02-25 15:44:49 | INFO     | src.data.feature_engineer | LSTM 시퀀스 생성: shape=(15, 3, 6) (환자=15, 시점=3, 변수=6)
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: WBC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: ANC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: ALC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: AMC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: PLT_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: Hb_week0
2026-02-25 15:44:49 | INFO     | src.data.feature_engineer | LSTM 시퀀스 생성: shape=(20, 3, 6) (환자=20, 시점=3, 변수=6)
2026-02-25 15:44:49 | INFO     | src.data.dataset | DataLoader 생성 완료: batch_size=32, train=65, val=15, test=20
2026-02-25 15:44:49 | INFO     | src.models.trainer | 학습 장치: mps
2026-02-25 15:44:50 | INFO     | src.models.trainer | 학습 시작: 100 에폭, 장치=mps
2026-02-25 15:44:50 | INFO     | src.models.trainer | Epoch  10/100 | Train Loss: 0.4386 | Val Loss: 0.3081 | Train AUC: 0.7189 | Val AUC: 0.9615 | LR: 1.00e-03 | 0.0s
2026-02-25 15:44:51 | INFO     | src.models.trainer | Epoch  20/100 | Train Loss: 0.2046 | Val Loss: 0.2645 | Train AUC: 0.9613 | Val AUC: 0.9615 | LR: 1.00e-03 | 0.0s
2026-02-25 15:44:51 | INFO     | src.models.trainer | Epoch  30/100 | Train Loss: 0.1634 | Val Loss: 0.2581 | Train AUC: 0.9781 | Val AUC: 0.9615 | LR: 1.00e-03 | 0.0s
2026-02-25 15:44:51 | INFO     | src.models.trainer | Epoch  40/100 | Train Loss: 0.1304 | Val Loss: 0.2244 | Train AUC: 0.9832 | Val AUC: 0.9615 | LR: 5.00e-04 | 0.0s
2026-02-25 15:44:51 | INFO     | src.models.trainer | Early stopping 발동 (patience=15, best_loss=0.2056)
2026-02-25 15:44:51 | INFO     | src.models.trainer | Early stopping at epoch 40
2026-02-25 15:44:51 | INFO     | src.evaluation.visualization | 학습 히스토리 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/figures/lstm_training_history.png
2026-02-25 15:44:51 | INFO     | src.evaluation.metrics | [lstm_baseline_cbc] AUROC=0.8627, AUPRC=0.6095, Sens=0.3333, Spec=0.9412, Optimal Threshold=0.181
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 0.8627 [0.6471 - 1.0000]
2026-02-25 15:44:52 | INFO     | src.models.trainer | 체크포인트 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/models/lstm_best.pt
2026-02-25 15:44:52 | INFO     | main | ============================================================
2026-02-25 15:44:52 | INFO     | main | 7단계: 모델 비교 및 결과 저장
2026-02-25 15:44:52 | INFO     | main | ============================================================
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | 
========================================================================================================================
모델 성능 비교
========================================================================================================================
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | 모델                       auroc          auprc          sensitivity    specificity    ppv            npv            f1_score       brier_score    
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | ------------------------------------------------------------------------------------------------------------------------
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | xgboost_baseline_only    0.4706         0.4372         0.3333         0.9412         0.5000         0.8889         0.4000         0.1508         
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | lightgbm_baseline_only   0.3922         0.4252         0.3333         0.7059         0.1667         0.8571         0.2222         0.2082         
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | logistic_regression_baseline_only0.1373         0.1148         0.0000         0.4118         0.0000         0.7000         0.0000         0.3519         
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | xgboost_baseline_cbc     1.0000         1.0000         1.0000         0.9412         0.7500         1.0000         0.8571         0.0385         
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | lightgbm_baseline_cbc    0.9804         0.9167         1.0000         0.8824         0.6000         1.0000         0.7500         0.0540         
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | logistic_regression_baseline_cbc0.8627         0.4667         0.3333         0.8235         0.2500         0.8750         0.2857         0.1517         
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | lstm_baseline_cbc        0.8627         0.6095         0.3333         0.9412         0.5000         0.8889         0.4000         0.1104         
2026-02-25 15:44:52 | INFO     | src.evaluation.visualization | ROC 곡선 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/figures/roc_comparison.png
2026-02-25 15:44:52 | INFO     | src.evaluation.visualization | 모델 비교 그래프 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/figures/model_comparison.png
2026-02-25 15:44:52 | INFO     | src.evaluation.metrics | 
